4336PRIME,PRIME,INDEX,WHICH
4336A29A,A29A,AA29,MAX
4336A37J,A37J,A37J,MAX
4336A47A,A47A,AA47,MIN
4336A6AJ,A6AJ,AA6J,MAX
4336A6JA,A6JA,AA6J,MAX
4336A753,A753,A357,MIN
4336A86A,A86A,AA68,MIN
4336AJ49,AJ49,A49J,MIN
4336AQAJ,AQAJ,AAJQ,MAX
4336AQ39,AQ39,A39Q,MIN
4336AQ87,AQ87,A78Q,MIN
4336AQJA,AQJA,AAJQ,MAX
4336AKA7,AKA7,AA7K,MIN
43362A3K,2A3K,A23K,MIN
4336225A,225A,A225,MIN
43362269,2269,2269,MIN
433622KJ,22KJ,22JK,MAX
433625AJ,25AJ,A25J,MAX
4336254J,254J,245J,UNIQUE
4336255A,255A,A255,MIN
433625JA,25JA,A25J,MAX
43362749,2749,2479,MIN
4336285K,285K,258K,MIN
43362TQ7,2TQ7,27TQ,UNIQUE
43362TQK,2TQK,2TQK,MAX
43362J63,2J63,236J,MIN
43362QKA,2QKA,A2QK,MAX
43362KA3,2KA3,A23K,MIN
43363A63,3A63,A336,MIN
43363373,3373,3337,MIN
433635T7,35T7,357T,MAX
43363847,3847,3478,MIN
43363877,3877,3778,MIN
43363K33,3K33,333K,UNIQUE
4336426A,426A,A246,MIN
4336434J,434J,344J,MAX
43364423,4423,2344,MAX
43364549,4549,4459,MIN
433645Q7,45Q7,457Q,MAX
433645K9,45K9,459K,MIN
43364663,4663,3466,UNIQUE
4336486A,486A,A468,MIN
433648T9,48T9,489T,MIN
43364969,4969,4699,MIN
43364J6K,4J6K,46JK,MAX
43364KAK,4KAK,A4KK,MAX
4336536J,536J,356J,MIN
43365563,5563,3556,MIN
433656KA,56KA,A56K,MAX
4336585A,585A,A558,MAX
43365953,5953,3559,MAX
43365QA7,5QA7,A57Q,MAX
4336632J,632J,236J,MAX
43366343,6343,3346,MAX
4336636A,636A,A366,MAX
433663T3,63T3,336T,MAX
4336645A,645A,A456,MAX
43366577,6577,5677,UNIQUE
433665J9,65J9,569J,MAX
433666T9,66T9,669T,UNIQUE
43366733,6733,3367,MAX
433669T9,69T9,699T,MAX
43366J53,6J53,356J,MAX
43366JKA,6JKA,A6JK,MAX
43366Q6K,6Q6K,66QK,MAX
43367243,7243,2347,MAX
433672JJ,72JJ,27JJ,MAX
4336732A,732A,A237,MAX
433674AA,74AA,AA47,MAX
433676Q9,76Q9,679Q,MAX
43367993,7993,3799,MIN
43367TAA,7TAA,AA7T,MAX
43368233,8233,2338,MAX
4336842J,842J,248J,MAX
433684QK,84QK,48QK,MAX
4336854J,854J,458J,MAX
4336855K,855K,558K,MAX
43368623,8623,2368,MAX
4336864A,864A,A468,MAX
4336872J,872J,278J,MAX
43368737,8737,3778,MAX
4336875J,875J,578J,MAX
43368863,8863,3688,MAX
43368J4J,8J4J,48JJ,MAX
43368QTA,8QTA,A8TQ,MAX
43369A7J,9A7J,A79J,MAX
43369A8K,9A8K,A89K,MAX
43369AKJ,9AKJ,A9JK,MAX
433692TK,92TK,29TK,MAX
433693K3,93K3,339K,MAX
433694AJ,94AJ,A49J,MAX
