PRIME,AB,A,B,INDEX
1.38131E+13,K8KKQ7JJ,K8KK,Q7JJ,78JJQKKK
1.38131E+13,K8KKJQ5K,K8KK,JQ5K,58JQKKKK
1.38131E+13,K8KK1KJK,K8KK,1KJK,18JKKKKK
1.38131E+13,K8KKQT2J,K8KK,QT2J,28TJQKKK
1.38131E+13,K8KKJ3JK,K8KK,J3JK,38JJKKKK
1.38131E+13,K8KKKQK9,K8KK,KQK9,89QKKKKK
1.38131E+13,K8KKTT4J,K8KK,TT4J,48TTJKKK
1.38131E+13,K8KKK7JK,K8KK,K7JK,78JKKKKK
1.38131E+13,K8KK2QTJ,K8KK,2QTJ,28TJQKKK
1.38131E+13,K8KKQTQ7,K8KK,QTQ7,78TQQKKK
1.15111E+13,J5JKK6TJ,J5JK,K6TJ,56TJJJKK
1.15111E+13,J5JKJ9TK,J5JK,J9TK,59TJJJKK
1.15111E+13,J5JK8KJJ,J5JK,8KJJ,58JJJJKK
1.15111E+13,J5JKJTT3,J5JK,JTT3,35TTJJJK
1.15111E+13,J5JKQJ3J,J5JK,QJ3J,35JJJJQK
1.15111E+13,J5JK2TJJ,J5JK,2TJJ,25TJJJJK
1.15111E+13,J5JKJKT3,J5JK,JKT3,35TJJJKK
1.15111E+13,J5JKQJ9J,J5JK,QJ9J,59JJJJQK
1.15111E+13,J5JKK4KK,J5JK,K4KK,45JJKKKK
1.15111E+13,J5JKQ1KJ,J5JK,Q1KJ,15JJJQKK
1.15111E+13,J5JKQQT3,J5JK,QQT3,35TJJQQK
1.15111E+13,J5JKQKQ9,J5JK,QKQ9,59JJQQKK
1.15111E+13,J5JKQQ8J,J5JK,QQ8J,58JJJQQK
1.15111E+13,J5JKT7KK,J5JK,T7KK,57TJJKKK
1.15111E+13,J5JKJT3K,J5JK,JT3K,35TJJJKK
1.11013E+13,JTQ79KTJ,JTQ7,9KTJ,79TTJJQK
1.11013E+13,JTQ7KT6J,JTQ7,KT6J,67TTJJQK
1.11013E+13,JTQ7TQ4J,JTQ7,TQ4J,47TTJJQQ
1.11013E+13,JTQ79QQK,JTQ7,9QQK,79TJQQQK
1.11013E+13,JTQ7QQ6K,JTQ7,QQ6K,67TJQQQK
1.11013E+13,JTQ7QQQ1,JTQ7,QQQ1,17TJQQQQ
1.11013E+13,JTQ7K2QK,JTQ7,K2QK,27TJQQKK
1.11013E+13,JTQ7QTQ3,JTQ7,QTQ3,37TTJQQQ
1.11013E+13,JTQ72TJJ,JTQ7,2TJJ,27TTJJJQ
1.11013E+13,JTQ7TTK1,JTQ7,TTK1,17TTTJQK
1.11013E+13,JTQ7KJT3,JTQ7,KJT3,37TTJJQK
1.11013E+13,JTQ7J9KK,JTQ7,J9KK,79TJJQKK
1.11013E+13,JTQ7KTJ9,JTQ7,KTJ9,79TTJJQK
1.11013E+13,JTQ75JTJ,JTQ7,5JTJ,57TTJJJQ
1.11013E+13,JTQ7KK9J,JTQ7,KK9J,79TJJQKK
9.13101E+13,9KTJJJ2K,9KTJ,JJ2K,29TJJJKK
9.13101E+13,9KTJ1JQK,9KTJ,1JQK,19TJJQKK
9.13101E+13,9KTJ3JKK,9KTJ,3JKK,39TJJKKK
9.13101E+13,9KTJ9QQK,9KTJ,9QQK,99TJQQKK
9.13101E+13,9KTJ4QJK,9KTJ,4QJK,49TJJQKK
9.13101E+13,9KTJK2QK,9KTJ,K2QK,29TJQKKK
9.13101E+13,9KTJQJ9J,9KTJ,QJ9J,99TJJJQK
9.13101E+13,9KTJKTK7,9KTJ,KTK7,79TTJKKK
9.13101E+13,9KTJK8QK,9KTJ,K8QK,89TJQKKK
9.13101E+13,9KTJQQ8J,9KTJ,QQ8J,89TJJQQK
9.13101E+13,9KTJJ1QK,9KTJ,J1QK,19TJJQKK
1.01221E+13,TQ2KJ5JK,TQ2K,J5JK,25TJJQKK
1.01221E+13,TQ2KJT9K,TQ2K,JT9K,29TTJQKK
1.01221E+13,TQ2K4JQK,TQ2K,4JQK,24TJQQKK
1.01221E+13,TQ2K4KKK,TQ2K,4KKK,24TQKKKK
1.01221E+13,TQ2KK2QK,TQ2K,K2QK,22TQQKKK
1.01221E+13,TQ2KJQJ3,TQ2K,JQJ3,23TJJQQK
1.01221E+13,TQ2KQTQ3,TQ2K,QTQ3,23TTQQQK
1.01221E+13,TQ2K2TJJ,TQ2K,2TJJ,22TTJJQK
