PRIME,AB,A,B,INDEX
12711111312139,Q7JJKQK9,Q7JJ,KQK9,79JJQQKK
12711111113713,Q7JJJK7K,Q7JJ,JK7K,77JJJQKK
12711111213133,Q7JJQKK3,Q7JJ,QKK3,37JJQQKK
12711111110713,Q7JJJT7K,Q7JJ,JT7K,77TJJJQK
12711118121011,Q7JJ8QTJ,Q7JJ,8QTJ,78TJJJQQ
12711114121213,Q7JJ4QQK,Q7JJ,4QQK,47JJQQQK
12711111311131,Q7JJKJK1,Q7JJ,KJK1,17JJJQKK
12712131113713,Q7QKJK7K,Q7QK,JK7K,77JQQKKK
12712135131013,Q7QK5KTK,Q7QK,5KTK,57TQQKKK
12712134121111,Q7QK4QJJ,Q7QK,4QJJ,47JJQQQK
12712131161011,Q7QKJ6TJ,Q7QK,J6TJ,67TJJQQK
12712131210613,Q7QKQT6K,Q7QK,QT6K,67TQQQKK
12712131313813,Q7QKKK8K,Q7QK,KK8K,78QQKKKK
12712131111013,Q7QKJ1TK,Q7QK,J1TK,17TJQQKK
12712136101213,Q7QK6TQK,Q7QK,6TQK,67TQQQKK
12712131113137,Q7QKJKK7,Q7QK,JKK7,77JQQKKK
12712131111013,Q7QK1JTK,Q7QK,1JTK,17TJQQKK
51012111271111,5TQJQ7JJ,5TQJ,Q7JJ,57TJJJQQ
51012111310117,5TQJKTJ7,5TQJ,KTJ7,57TTJJQK
51012111012103,5TQJTQT3,5TQJ,TQT3,35TTTJQQ
51012111010129,5TQJTTQ9,5TQJ,TTQ9,59TTTJQQ
12313131213133,Q3KKQKK3,Q3KK,QKK3,33QQKKKK
12313131210103,Q3KKQTT3,Q3KK,QTT3,33TTQQKK
12313131312133,Q3KKKQK3,Q3KK,KQK3,33QQKKKK
12313131141013,Q3KKJ4TK,Q3KK,J4TK,34TJQKKK
12313131041311,Q3KKT4KJ,Q3KK,T4KJ,34TJQKKK
12313131210613,Q3KKQT6K,Q3KK,QT6K,36TQQKKK
12313134101011,Q3KK4TTJ,Q3KK,4TTJ,34TTJQKK
12313131010129,Q3KKTTQ9,Q3KK,TTQ9,39TTQQKK
12313131113137,Q3KKJKK7,Q3KK,JKK7,37JQKKKK
12313131212611,Q3KKQQ6J,Q3KK,QQ6J,36JQQQKK
41313131281211,4KKKQ8QJ,4KKK,Q8QJ,48JQQKKK
41313131110127,4KKKJTQ7,4KKK,JTQ7,47TJQKKK
41313131112611,4KKKJQ6J,4KKK,JQ6J,46JJQKKK
41313133111013,4KKK3JTK,4KKK,3JTK,34TJKKKK
41313131191313,4KKKJ9KK,4KKK,J9KK,49JKKKKK
41313133131113,4KKK3KJK,4KKK,3KJK,34JKKKKK
41313131012411,4KKKTQ4J,4KKK,TQ4J,44TJQKKK
13813131271111,K8KKQ7JJ,K8KK,Q7JJ,78JJQKKK
13813131312139,K8KKKQK9,K8KK,KQK9,89QKKKKK
13813131210211,K8KKQT2J,K8KK,QT2J,28TJQKKK
13813131131113,K8KK1KJK,K8KK,1KJK,18JKKKKK
13813131112513,K8KKJQ5K,K8KK,JQ5K,58JQKKKK
13813131131113,K8KKJ3JK,K8KK,J3JK,38JJKKKK
13813132121011,K8KK2QTJ,K8KK,2QTJ,28TJQKKK
13813131371113,K8KKK7JK,K8KK,K7JK,78JKKKKK
13813131010411,K8KKTT4J,K8KK,TT4J,48TTJKKK
13813131210127,K8KKQTQ7,K8KK,QTQ7,78TQQKKK
10138131310123,TK8KKTQ3,TK8K,KTQ3,38TTQKKK
10138131051313,TK8KT5KK,TK8K,T5KK,58TTKKKK
10138131111211,TK8K1JQJ,TK8K,1JQJ,18TJJQKK
10138131251011,TK8KQ5TJ,TK8K,Q5TJ,58TTJQKK
10138131111211,TK8KJJ2J,TK8K,JJ2J,28TJJJKK
10138134121111,TK8K4QJJ,TK8K,4QJJ,48TJJQKK
10138131013711,TK8KTK7J,TK8K,TK7J,78TTJKKK
10138131012103,TK8KTQT3,TK8K,TQT3,38TTTQKK
10138136101111,TK8K6TJJ,TK8K,6TJJ,68TTJJKK
10138131111211,TK8KJ1QJ,TK8K,J1QJ,18TJJQKK
10138131313813,TK8KKK8K,TK8K,KK8K,88TKKKKK
10138136101213,TK8K6TQK,TK8K,6TQK,68TTQKKK
10138136111011,TK8K6JTJ,TK8K,6JTJ,68TTJJKK
10138131010411,TK8KTT4J,TK8K,TT4J,48TTTJKK
41211131101211,4QJK1TQJ,4QJK,1TQJ,14TJJQQK
41211139131011,4QJK9KTJ,4QJK,9KTJ,49TJJQKK
41211131312513,4QJKKQ5K,4QJK,KQ5K,45JQQKKK
41211137101313,4QJK7TKK,4QJK,7TKK,47TJQKKK
41211131061311,4QJKT6KJ,4QJK,T6KJ,46TJJQKK
41211133101311,4QJK3TKJ,4QJK,3TKJ,34TJJQKK
41211131381111,4QJKK8JJ,4QJK,K8JJ,48JJJQKK
12131091111211,QKT91JQJ,QKT9,1JQJ,19TJJQQK
12131091111211,QKT9JJ2J,QKT9,JJ2J,29TJJJQK
12131091112513,QKT9JQ5K,QKT9,JQ5K,59TJQQKK
12131091111211,QKT9J1QJ,QKT9,J1QJ,19TJJQQK
12131091110311,QKT9JT3J,QKT9,JT3J,39TTJJQK
12131091261313,QKT9Q6KK,QKT9,Q6KK,69TQQKKK
12113111312411,Q1KJKQ4J,Q1KJ,KQ4J,14JJQQKK
12113111211911,Q1KJQJ9J,Q1KJ,QJ9J,19JJJQQK
12113111112611,Q1KJJQ6J,Q1KJ,JQ6J,16JJJQQK
12113111011013,Q1KJT1TK,Q1KJ,T1TK,11TTJQKK
12113113111013,Q1KJ3JTK,Q1KJ,3JTK,13TJJQKK
12113119131011,Q1KJ9KTJ,Q1KJ,9KTJ,19TJJQKK
12113111110913,Q1KJJT9K,Q1KJ,JT9K,19TJJQKK
12113111312513,Q1KJKQ5K,Q1KJ,KQ5K,15JQQKKK
12113111112131,Q1KJJQK1,Q1KJ,JQK1,11JJQQKK
13121391113713,KQK9JK7K,KQK9,JK7K,79JQKKKK
13121395121113,KQK95QJK,KQK9,5QJK,59JQQKKK
13121391131113,KQK91KJK,KQK9,1KJK,19JQKKKK
13121391211813,KQK9QJ8K,KQK9,QJ8K,89JQQKKK
