TTTTTJ,5100,4.0,"61, 67, 84, 96"
TTTTTK,5001,6.0,"13, 28, 65, 73, 77, 86"
TTTTJJ,4200,5.0,"12, 33, 66, 72, 78"
TTTTJK,4101,10.0,"12, 15, 22, 34, 48, 49, 52, 67, 94, 96"
TTTTQJ,4110,8.0,"28, 41, 62, 71, 74, 77, 89, 92"
TTTTQK,4011,5.0,"24, 54, 65, 66, 95"
TTTTKJ,4101,6.0,"15, 45, 51, 55, 66, 73"
TTTTKK,4002,10.0,"13, 25, 28, 29, 31, 34, 59, 86, 97, 98"
TTTJTJ,4200,4.0,"14, 32, 54, 96"
TTTJTK,4101,8.0,"16, 27, 31, 34, 36, 48, 67, 75"
TTTJJJ,3300,7.0,"16, 34, 38, 41, 73, 76, 94"
TTTJJK,3201,7.0,"27, 32, 48, 57, 69, 84, 86"
TTTJQJ,3210,8.0,"31, 36, 49, 55, 63, 67, 72, 78"
TTTJQK,3111,5.0,"16, 43, 62, 64, 91"
TTTJKJ,3201,5.0,"35, 51, 57, 71, 93"
TTTJKK,3102,5.0,"13, 24, 31, 66, 81"
TTTQTJ,4110,9.0,"17, 28, 41, 44, 49, 59, 65, 76, 77"
TTTQTK,4011,5.0,"21, 63, 68, 74, 75"
TTTQJJ,3210,5.0,"12, 25, 28, 51, 76"
TTTQJK,3111,7.0,"28, 46, 53, 61, 65, 79, 82"
TTTQQJ,3120,4.0,"18, 62, 65, 87"
TTTQQK,3021,7.0,"19, 28, 52, 58, 61, 67, 78"
TTTQKJ,3111,7.0,"17, 25, 38, 71, 73, 89, 95"
TTTQKK,3012,7.0,"14, 17, 33, 45, 57, 87, 96"
TTTKTJ,4101,7.0,"37, 39, 54, 69, 72, 88, 93"
TTTKTK,4002,7.0,"19, 23, 29, 35, 73, 85, 94"
TTTKJJ,3201,7.0,"18, 26, 44, 63, 66, 75, 77"
TTTKJK,3102,9.0,"12, 22, 36, 49, 51, 61, 63, 72, 85"
TTTKQJ,3111,6.0,"13, 16, 35, 47, 71, 97"
